Y,X,Name,Nearest Planning Area,Distance to PA,Amount of Blood Collected
1.403284291,103.9072886,kml_81,Punggol,0.0017868555707411032,663
1.404515901,103.8956649,kml_82,Punggol,0.013404510477070428,663
1.299150228,103.8013051,kml_83,Tanglin,0.019443837498295122,319
1.275931018,103.8197531,kml_84,Bukit Merah,0.004744489698624761,394
1.385152764,103.9023195,kml_85,Sengkang,0.017850607450185768,503
1.451681528,103.8287832,kml_86,Sembawang,0.011144726223059388,732
1.392785586,103.8939061,kml_87,Sengkang,0.009937760307659794,503
1.38158679,103.7646596,kml_88,Bukit Panjang,0.018240931439868657,459
1.321631858,103.9433366,kml_89,Bedok,0.01336604924729785,306
1.317291936,103.9467421,kml_90,Bedok,0.01805768326015998,306
1.313158952,103.9306235,kml_91,Bedok,0.011794673416127305,306
1.335306801,103.7216264,kml_92,Jurong East,0.015718498461104277,330
1.353496155,103.9396836,kml_93,Tampines,0.017488323977448803,630
1.345813346,103.9476878,kml_94,Tampines,0.007373361585530436,630
1.353356826,103.9546205,kml_95,Tampines,0.00826243167206067,630
1.357364788,103.9466027,kml_96,Tampines,0.014875682989381207,630
1.348750764,103.9356334,kml_97,Tampines,0.019733415603501746,630
1.323384468,103.8268772,kml_98,Novena,0.01131606709191696,344
1.27616698,103.8415842,kml_99,Outram,0.005509705924675563,55
1.363088679,103.8535361,kml_100,Ang Mo Kio,0.010875762441088201,353
1.274862657,103.8078754,kml_101,Bukit Merah,0.016335548029091332,394
1.356752418,103.7345001,kml_102,Tengah,0.009089084842312925,53
1.340469564,103.7044527,kml_103,Boon Lay,0.0025189137489970157,0
1.370054862,103.8739276,kml_104,Serangoon,0.00505953571872545,521
1.358588416,103.8455225,kml_105,Bishan,0.007433291278586063,389
1.351253853,103.8362623,kml_106,Bishan,0.004584792982369812,389
1.283452517,103.8318827,kml_107,Outram,0.01050768530647277,55
1.334934517,103.8502045,kml_108,Toa Payoh,0.01231159182583581,308
1.336274892,103.8547002,kml_109,Toa Payoh,0.007725181747021521,308
1.33489037,103.859379,kml_110,Toa Payoh,0.0034166390422274116,308
1.335382712,103.8448309,kml_111,Novena,0.011584157441754023,344
1.312009409,103.7892112,kml_112,Bukit Timah,0.016413810620885556,370
1.30264556,103.7648321,kml_113,Clementi,0.014382776581858046,453
1.324639594,103.8569792,kml_114,Toa Payoh,0.012996536246802774,308
1.431771022,103.7850069,kml_115,Woodlands,0.01020417910939047,848
1.439730339,103.7882354,kml_116,Woodlands,0.0016981500990551144,848
1.439041607,103.802611,kml_117,Mandai,0.0124511945537958,14
1.394917584,103.7447279,kml_118,Choa Chu Kang,0.007931310885588606,632
1.381517272,103.8414281,kml_119,Ang Mo Kio,0.013075410277769081,353
1.425035669,103.8463992,kml_120,Yishun,0.012868491703205372,610
1.339972853,103.7370659,kml_121,Jurong East,0.01560426505011444,330
1.386806829,103.7715208,kml_122,Bukit Panjang,0.021323815765786482,459
1.341262838,103.9330104,kml_123,Bedok,0.016520788030098342,306
1.311727991,103.952223,kml_124,Bedok,0.025525797864113218,306
1.339359554,103.7272995,kml_125,Jurong East,0.01574207736265256,330
